,name,lat_lon,Gebiedscode,Rivier,Coordinaten,Lat,Lon,meting
0,Waal1,"(51.8227, 5.0159)",W(078a)R-ZHNL,Waal,#REF!,51.8227,5.0159,0
1,Waal2,"(51.829, 5.0805)",W(074b)R-REFE,Waal,#REF!,51.829,5.0805,0
2,Waal3,"(51.8126, 5.2358)",W(062a)L-GENL,Waal,#REF!,51.8126,5.2358,0
3,Waal4,"(51.8475, 5.4159)",W(048a)L-GENL,Waal,#REF!,51.8475,5.4159,0
4,Waal5,"(51.8588, 5.4222)",W(046a)L-GENL,Waal,#REF!,51.8588,5.4222,0
5,Waal6,"(51.8872, 5.4663)",W(042a)L-GENL,Waal,#REF!,51.8872,5.4663,0
6,Waal7,"(51.8919, 5.4838)",W(041a)R-GENL,Waal,#REF!,51.8919,5.4838,0
7,Waal8,"(51.8923, 5.5114)",W(038b)R-GENL,Waal,#REF!,51.8923,5.5114,0
8,Waal9,"(51.8897, 5.5208)",W(038a)L-GENL,Waal,#REF!,51.8897,5.5208,0
9,Waal10,"(51.8998, 5.6477)",W(031a)R-GENL,Waal,#REF!,51.8998,5.6477,0
10,Waal11,"(51.8778, 5.7978)",W(022b)R-REFE,Waal,#REF!,51.8778,5.7978,0
11,Waal12,"(51.8766, 5.9225)",W(013a)R-GENL,Waal,#REF!,51.8766,5.9225,0
12,Waal13,"(51.7183, 4.698)",W(001a)R-REFE,Waal,#REF!,51.7183,4.698,0
13,Maas14,"(51.7184, 5.9242)",M(082b)L-REFE,Maas,#REF!,51.7184,5.9242,0
14,Maas15,"(50.8724, 5.689)",M(006b)R-REFE,Maas,#REF!,50.8724,5.689,0
15,Waal16,"(51.810196, 5.389288)",W4 Heerewaarden,Waal,#REF!,51.810196,5.389288,0
16,Maas17,"(nan, nan)",M 3 Heerewaarden,Maas,#REF!,,,0
17,Waal18,"(51.7433, 4.7243)",W(092a)L-NBNL,Waal,#REF!,51.7433,4.7243,1
18,Waal19,"(51.7799, 4.7488)",W(091a)R-ZHNL,Waal,#REF!,51.7799,4.7488,1
19,Waal20,"(51.7911, 4.7629)",W(090a)R-ZHNL,Waal,#REF!,51.7911,4.7629,1
20,Waal21,"(51.7926, 4.7799)",W(089a)L-NBNL,Waal,#REF!,51.7926,4.7799,1
21,Waal22,"(51.7954, 4.8258)",W(088a)L-NBNL,Waal,#REF!,51.7954,4.8258,1
22,Waal23,"(51.8229, 5.0045)",W(079a)R-ZHNL,Waal,#REF!,51.8229,5.0045,1
23,Waal1,"(51.8227, 5.0159)",W(078a)R-ZHNL,Waal,#REF!,51.8227,5.0159,1
24,Waal24,"(51.8193, 5.0376)",W(077a)R-GENL,Waal,#REF!,51.8193,5.0376,1
25,Waal25,"(51.8268, 5.0691)",W(075a)R-GENL,Waal,#REF!,51.8268,5.0691,1
26,Waal2,"(51.829, 5.0805)",W(074b)R-REFE,Waal,#REF!,51.829,5.0805,1
27,Waal2,"(51.829, 5.0805)",W(074a)R-GENL,Waal,#REF!,51.829,5.0805,1
28,Waal26,"(51.8079, 5.2146)",W(063a)L-GENL,Waal,#REF!,51.8079,5.2146,1
29,Waal27,"(51.8152, 5.2488)",W(060a)L-GENL,Waal,#REF!,51.8152,5.2488,1
30,Waal28,"(51.8181, 5.2796)",W(059a)L-GENL,Waal,#REF!,51.8181,5.2796,1
31,Waal29,"(51.8131, 5.3262)",W(055a)L-GENL,Waal,#REF!,51.8131,5.3262,1
32,Waal30,"(51.8313, 5.3947)",W(050a)L-GENL,Waal,#REF!,51.8313,5.3947,1
33,Waal4,"(51.8475, 5.4159)",W(048a)L-GENL,Waal,#REF!,51.8475,5.4159,1
34,Waal5,"(51.8588, 5.4222)",W(046a)L-GENL,Waal,#REF!,51.8588,5.4222,1
35,Waal31,"(51.8719, 5.4231)",W(045a)R-GENL,Waal,#REF!,51.8719,5.4231,1
36,Waal32,"(51.8827, 5.4476)",W(044a)L-GENL,Waal,#REF!,51.8827,5.4476,1
37,Waal6,"(51.8872, 5.4663)",W(042a)L-GENL,Waal,#REF!,51.8872,5.4663,1
38,Waal8,"(51.8923, 5.5114)",W(038b)R-GENL,Waal,#REF!,51.8923,5.5114,1
39,Waal9,"(51.8897, 5.5208)",W(038a)L-GENL,Waal,#REF!,51.8897,5.5208,1
40,Waal33,"(51.8976, 5.5901)",W(036a)L-GENL,Waal,#REF!,51.8976,5.5901,1
41,Waal34,"(51.9014, 5.5961)",W(035a)R-GENL,Waal,#REF!,51.9014,5.5961,1
42,Waal10,"(51.8998, 5.6477)",W(031a)R-GENL,Waal,#REF!,51.8998,5.6477,1
43,Waal35,"(51.8872, 5.7376)",W(025a)R-GENL,Waal,#REF!,51.8872,5.7376,1
44,Waal36,"(51.8822, 5.7633)",W(024a)R-GENL,Waal,#REF!,51.8822,5.7633,1
45,Waal37,"(51.8756, 5.7855)",W(023a)L-GENL,Waal,#REF!,51.8756,5.7855,1
46,Waal11,"(51.8778, 5.7978)",W(022b)R-REFE,Waal,#REF!,51.8778,5.7978,1
