location,latitude,longitude,city,country,water_name,water,lat_lon,slug,Gebiedscode
Waal1,51.8227,5.0159,unk,NL,Waal,r,"(51.8227, 5.0159)",waal1,W(078a)R-ZHNL
Waal2,51.82899999999999,5.0805,unk,NL,Waal,r,"(51.82899999999999, 5.0805)",waal2,W(074b)R-REFE
Waal3,51.8126,5.2358,unk,NL,Waal,r,"(51.8126, 5.2358)",waal3,W(062a)L-GENL
Waal4,51.8475,5.4159,unk,NL,Waal,r,"(51.8475, 5.4159)",waal4,W(048a)L-GENL
Waal5,51.8588,5.4222,unk,NL,Waal,r,"(51.8588, 5.4222)",waal5,W(046a)L-GENL
Waal6,51.8872,5.4663,unk,NL,Waal,r,"(51.8872, 5.4663)",waal6,W(042a)L-GENL
Waal7,51.8919,5.4838,unk,NL,Waal,r,"(51.8919, 5.4838)",waal7,W(041a)R-GENL
Waal8,51.8923,5.5114,unk,NL,Waal,r,"(51.8923, 5.5114)",waal8,W(038b)R-GENL
Waal9,51.8897,5.5208,unk,NL,Waal,r,"(51.8897, 5.5208)",waal9,W(038a)L-GENL
Waal10,51.8998,5.6477,unk,NL,Waal,r,"(51.8998, 5.6477)",waal10,W(031a)R-GENL
Waal11,51.8778,5.7978,unk,NL,Waal,r,"(51.8778, 5.7978)",waal11,W(022b)R-REFE
Waal12,51.8766,5.9225,unk,NL,Waal,r,"(51.8766, 5.9225)",waal12,W(013a)R-GENL
Waal13,51.7183,4.698,unk,NL,Waal,r,"(51.7183, 4.698)",waal13,W(001a)R-REFE
Maas14,51.7184,5.9242,unk,NL,Maas,r,"(51.7184, 5.9242)",maas14,M(082b)L-REFE
Maas15,50.8724,5.689,unk,NL,Maas,r,"(50.8724, 5.689)",maas15,M(006b)R-REFE
Waal16,51.810196000000005,5.389288,unk,NL,Waal,r,"(51.810196000000005, 5.389288)",waal16,W4 Heerewaarden
Maas17,,,unk,NL,Maas,r,"(nan, nan)",maas17,M 3 Heerewaarden
Waal18,51.7433,4.7243,unk,NL,Waal,r,"(51.7433, 4.7243)",waal18,W(092a)L-NBNL
Waal19,51.7799,4.7488,unk,NL,Waal,r,"(51.7799, 4.7488)",waal19,W(091a)R-ZHNL
Waal20,51.7911,4.7629,unk,NL,Waal,r,"(51.7911, 4.7629)",waal20,W(090a)R-ZHNL
Waal21,51.7926,4.7799,unk,NL,Waal,r,"(51.7926, 4.7799)",waal21,W(089a)L-NBNL
Waal22,51.7954,4.8258,unk,NL,Waal,r,"(51.7954, 4.8258)",waal22,W(088a)L-NBNL
Waal23,51.8229,5.0045,unk,NL,Waal,r,"(51.8229, 5.0045)",waal23,W(079a)R-ZHNL
Waal24,51.8193,5.0376,unk,NL,Waal,r,"(51.8193, 5.0376)",waal24,W(077a)R-GENL
Waal25,51.8268,5.0691,unk,NL,Waal,r,"(51.8268, 5.0691)",waal25,W(075a)R-GENL
Waal2,51.82899999999999,5.0805,unk,NL,Waal,r,"(51.82899999999999, 5.0805)",waal2,W(074a)R-GENL
Waal26,51.8079,5.2146,unk,NL,Waal,r,"(51.8079, 5.2146)",waal26,W(063a)L-GENL
Waal27,51.8152,5.2488,unk,NL,Waal,r,"(51.8152, 5.2488)",waal27,W(060a)L-GENL
Waal28,51.8181,5.2796,unk,NL,Waal,r,"(51.8181, 5.2796)",waal28,W(059a)L-GENL
Waal29,51.8131,5.3262,unk,NL,Waal,r,"(51.8131, 5.3262)",waal29,W(055a)L-GENL
Waal30,51.8313,5.3947,unk,NL,Waal,r,"(51.8313, 5.3947)",waal30,W(050a)L-GENL
Waal31,51.8719,5.4231,unk,NL,Waal,r,"(51.8719, 5.4231)",waal31,W(045a)R-GENL
Waal32,51.8827,5.4476,unk,NL,Waal,r,"(51.8827, 5.4476)",waal32,W(044a)L-GENL
Waal33,51.8976,5.5901,unk,NL,Waal,r,"(51.8976, 5.5901)",waal33,W(036a)L-GENL
Waal34,51.9014,5.5961,unk,NL,Waal,r,"(51.9014, 5.5961)",waal34,W(035a)R-GENL
Waal35,51.8872,5.7376,unk,NL,Waal,r,"(51.8872, 5.7376)",waal35,W(025a)R-GENL
Waal36,51.8822,5.7633,unk,NL,Waal,r,"(51.8822, 5.7633)",waal36,W(024a)R-GENL
Waal37,51.8756,5.7855,unk,NL,Waal,r,"(51.8756, 5.7855)",waal37,W(023a)L-GENL
Waal38,51.8714,5.8192,unk,NL,Waal,r,"(51.8714, 5.8192)",waal38,W(021a)R-GENL
Waal39,51.8604,5.8856,unk,NL,Waal,r,"(51.8604, 5.8856)",waal39,W(017a)L-GENL
Waal13,51.7183,4.698,unk,NL,Waal,r,"(51.7183, 4.698)",waal13,W(008a)L-GENL
Waal13,51.7183,4.698,unk,NL,Waal,r,"(51.7183, 4.698)",waal13,W(006a)R-GENL
Waal13,51.7183,4.698,unk,NL,Waal,r,"(51.7183, 4.698)",waal13,W(004a)L-GENL
Nederrijn13,51.7183,4.698,unk,NL,Nederrijn,r,"(51.7183, 4.698)",nederrijn13,R(004a)L-GENL
Maas40,51.7175,4.9081,unk,NL,Maas,r,"(51.7175, 4.9081)",maas40,M(149a)L-NBNL
Maas41,51.7216,4.9388,unk,NL,Maas,r,"(51.7216, 4.9388)",maas41,M(147a)L-NBNL
Maas42,51.7178,4.9804,unk,NL,Maas,r,"(51.7178, 4.9804)",maas42,M(146a)L-NBNL
Maas43,51.7137,5.0137,unk,NL,Maas,r,"(51.7137, 5.0137)",maas43,M(145b)R-REFE
Maas44,51.709962,5.046431,unk,NL,Maas,r,"(51.709962, 5.046431)",maas44,M(144a)L-NBNL
Maas45,51.7246,5.0883,unk,NL,Maas,r,"(51.7246, 5.0883)",maas45,M(140a)L-NBNL
Maas46,51.7414,5.1613,unk,NL,Maas,r,"(51.7414, 5.1613)",maas46,M(137a)L-NBNL
Maas47,51.7569,5.1365,unk,NL,Maas,r,"(51.7569, 5.1365)",maas47,M(136b)L-NBNL
Maas48,51.7415,5.1821,unk,NL,Maas,r,"(51.7415, 5.1821)",maas48,M(135a)L-NBNL
Maas49,51.74,5.2039,unk,NL,Maas,r,"(51.74, 5.2039)",maas49,M(134b)L-REFE
Maas49,51.74,5.2039,unk,NL,Maas,r,"(51.74, 5.2039)",maas49,M(134a)L-NBNL
Maas50,51.7424,5.2163,unk,NL,Maas,r,"(51.7424, 5.2163)",maas50,M(132a)L-NBNL
Maas51,51.7331,5.2535,unk,NL,Maas,r,"(51.7331, 5.2535)",maas51,M(130a)L-NBNL
Maas52,51.7411,5.2795,unk,NL,Maas,r,"(51.7411, 5.2795)",maas52,M(128a)R-GENL
Maas53,51.7389,5.2817,unk,NL,Maas,r,"(51.7389, 5.2817)",maas53,M(127a)L-NBNL
Maas54,51.7361,5.2972,unk,NL,Maas,r,"(51.7361, 5.2972)",maas54,M(125a)L-NBNL
Maas55,51.74,5.3101,unk,NL,Maas,r,"(51.74, 5.3101)",maas55,M(123a)L-NBNL
Maas56,51.7444,5.3194,unk,NL,Maas,r,"(51.7444, 5.3194)",maas56,M(122a)L-NBNL
Maas57,51.7606,5.3618,unk,NL,Maas,r,"(51.7606, 5.3618)",maas57,M(116a)L-NBNL
Maas58,51.7845,5.3664,unk,NL,Maas,r,"(51.7845, 5.3664)",maas58,M(114a)L-NBNL
Maas59,51.8091,5.4013,unk,NL,Maas,r,"(51.8091, 5.4013)",maas59,M(111a)L-NBNL
Maas60,51.8159,5.4104,unk,NL,Maas,r,"(51.8159, 5.4104)",maas60,M(110a)L-NBNL
Maas61,51.828,5.4914,unk,NL,Maas,r,"(51.828, 5.4914)",maas61,M(107a)L-NBNL
Maas62,51.8155,5.5385,unk,NL,Maas,r,"(51.8155, 5.5385)",maas62,M(105a)L-NBNL
Maas63,51.7928,5.6654,unk,NL,Maas,r,"(51.7928, 5.6654)",maas63,M(100a)L-NBNL
Maas64,51.7937,5.6686,unk,NL,Maas,r,"(51.7937, 5.6686)",maas64,M(099a)R-GENL
Maas65,51.7763,5.71,unk,NL,Maas,r,"(51.7763, 5.71)",maas65,M(097a)R-GENL
Maas66,51.7573,5.8607,unk,NL,Maas,r,"(51.7573, 5.8607)",maas66,M(090a)L-NBNL
Maas67,51.7527,5.8735,unk,NL,Maas,r,"(51.7527, 5.8735)",maas67,M(087a)L-NBNL
Maas68,51.7468,5.8816,unk,NL,Maas,r,"(51.7468, 5.8816)",maas68,M(086a)R-LINL
Maas69,51.7461,5.8791,unk,NL,Maas,r,"(51.7461, 5.8791)",maas69,M(085a)L-LINL
Maas70,51.7379,5.8827,unk,NL,Maas,r,"(51.7379, 5.8827)",maas70,M(084a)L-NBNL
Maas71,51.7221,5.8906,unk,NL,Maas,r,"(51.7221, 5.8906)",maas71,M(083a)L-NBNL
Maas72,51.7172,5.9347,unk,NL,Maas,r,"(51.7172, 5.9347)",maas72,M(080a)R-LINL
Maas73,51.7128,5.9513,unk,NL,Maas,r,"(51.7128, 5.9513)",maas73,M(079a)R-LINL
Maas74,51.6983,5.9581,unk,NL,Maas,r,"(51.6983, 5.9581)",maas74,M(077a)R-NBNL
Maas75,51.6582,5.9646,unk,NL,Maas,r,"(51.6582, 5.9646)",maas75,M(075a)R-LINL
Maas76,51.648,5.971,unk,NL,Maas,r,"(51.648, 5.971)",maas76,M(074a)R-LINL
Maas77,51.6475,5.9679,unk,NL,Maas,r,"(51.6475, 5.9679)",maas77,M(073a)L-NBNL
Maas78,51.6325,6.0006,unk,NL,Maas,r,"(51.6325, 6.0006)",maas78,M(072b)L-NBNL
Maas79,51.6296,6.0096,unk,NL,Maas,r,"(51.6296, 6.0096)",maas79,M(071a)R-LINL
Maas80,51.5456,6.0756,unk,NL,Maas,r,"(51.5456, 6.0756)",maas80,M(068a)L-LINL
Maas81,51.5469,6.1034,unk,NL,Maas,r,"(51.5469, 6.1034)",maas81,M(067a)L-LINL
Maas82,51.5494,6.1038,unk,NL,Maas,r,"(51.5494, 6.1038)",maas82,M(066a)R-LINL
Maas83,51.4862,6.1658,unk,NL,Maas,r,"(51.4862, 6.1658)",maas83,M(063a)R-LINL
Maas84,51.4867,6.169,unk,NL,Maas,r,"(51.4867, 6.169)",maas84,M(062a)L-LINL
Maas85,51.4686,6.1804,unk,NL,Maas,r,"(51.4686, 6.1804)",maas85,M(061a)R-LINL
Maas86,51.4691,6.1774,unk,NL,Maas,r,"(51.4691, 6.1774)",maas86,M(060a)L-LINL
Maas87,51.4251,6.1561,unk,NL,Maas,r,"(51.4251, 6.1561)",maas87,M(059a)L-LINL
Maas88,51.3565,6.1435,unk,NL,Maas,r,"(51.3565, 6.1435)",maas88,M(057a)L-LINL
Maas89,51.3066,6.1015,unk,NL,Maas,r,"(51.3066, 6.1015)",maas89,M(054a)R-LINL
Maas90,51.2873,6.0521,unk,NL,Maas,r,"(51.2873, 6.0521)",maas90,M(052a)R-LINL
Maas91,51.2531,6.0099,unk,NL,Maas,r,"(51.2531, 6.0099)",maas91,M(049a)R-LINL
Maas92,51.2301,5.9947,unk,NL,Maas,r,"(51.2301, 5.9947)",maas92,M(048a)L-LINL
Maas93,51.2146,5.9837,unk,NL,Maas,r,"(51.2146, 5.9837)",maas93,M(045a)R-LINL
Maas94,51.1875,5.9714,unk,NL,Maas,r,"(51.1875, 5.9714)",maas94,M(044a)R-LINL
Maas95,51.1938,5.9777,unk,NL,Maas,r,"(51.1938, 5.9777)",maas95,M(043a)R-LINL
Maas96,51.1893,5.9416,unk,NL,Maas,r,"(51.1893, 5.9416)",maas96,M(042a)R-LINL
Maas97,51.188,5.9321,unk,NL,Maas,r,"(51.188, 5.9321)",maas97,M(041a)L-LINL
Maas98,51.1622,5.9527,unk,NL,Maas,r,"(51.1622, 5.9527)",maas98,M(039a)R-LINL
Maas99,51.1625,5.9363,unk,NL,Maas,r,"(51.1625, 5.9363)",maas99,M(038a)R-LINL
Maas100,51.1469,5.8794,unk,NL,Maas,r,"(51.1469, 5.8794)",maas100,M(037a)R-LINL
Maas101,51.1307,5.8417,unk,NL,Maas,r,"(51.1307, 5.8417)",maas101,M(036a)R-LINL
Maas102,51.1085,5.8209,unk,NL,Maas,r,"(51.1085, 5.8209)",maas102,M(034a)R-LINL
Maas103,51.0848,5.8018,unk,NL,Maas,r,"(51.0848, 5.8018)",maas103,M(033a)R-LINL
