slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_name_slug,is_2020
aabach,Aabach,47.220989,8.940365,Schmerikon,8716,CH,l,Zurichsee,schmerikon,zurichsee,True
aare-limmatspitz,Aare Limmatspitz,47.501059999999995,8.237371000000001,Gebenstorf,5300,CH,r,Aare,gebenstorf,aare,True
aare-solothurn-lido-strand,Aare Solothurn Lido Strand,47.196949,7.521642999999999,Solothurn,4500,CH,r,Aare,solothurn,aare,True
aarezufluss_bern_scheurerk,aarezufluss_bern_scheurerk,46.9710097,7.452789699999999,Bern,3004,CH,r,Aare,bern,aare,False
aare_bern_caveltin,Aare_Bern_CaveltiN,46.923578799999994,7.473319099999999,Muri bei Bern,3074,CH,r,Aare,muri-bei-bern,aare,False
aare_bern_gerberm,Aare_bern_gerberm,46.9893631,7.4520976999999995,Bern,3004,CH,r,Aare,bern,aare,False
aare_bern_scheurerk,aare_bern_scheurerk,46.970967200000004,7.4525857,Bern,3004,CH,r,Aare,bern,aare,True
aare_brugg_buchie,Aare_Brugg_BuchiE,47.4948553,8.2365581,Brugg,5200,CH,r,Aare,brugg,aare,False
aare_elfenau_cataldiv,Aare_Elfenau_cataldiv,46.9310201,7.462960499999999,Bern,3006,CH,r,Aare,bern,aare,False
aare_kehrsatz_stolten,aare_kehrsatz_stolten,46.9235719,7.4883011,Belp,3123,CH,r,Aare,belp,aare,False
aare_koniz_hoppej,aare_köniz_hoppej,46.934588500000004,7.458170299999999,Köniz,3084,CH,r,Aare,koniz,aare,True
aare_post,Aare_post,47.116665000000005,7.271953,Port,2562,CH,r,Aare|Nidau-Büren-Kanal,port,aarenidau-buren-kanal,True
aare_rupperswil_badert,aare_rupperswil_badert,47.410309000000005,8.1125537,Rupperswil,5102,CH,r,Aare,rupperswil,aare,False
aare_solothurn_nguyena,aare_solothurn_nguyena,47.1977495,7.5242247,Solothurn,4500,CH,r,Aare,solothurn,aare,False
aare_suhrespitz_badert,aare_suhrespitz_badert,47.405669200000006,8.066018,Aarau,5032,CH,r,Aare,aarau,aare,True
anarchy-beach,Anarchy Beach,46.447216,6.859611999999999,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False
arabie,Arabie,46.462099,6.8349720000000005,Vevey,1800,CH,l,Lac Léman,vevey,lac-leman,False
arve_carouge_battistellak,arve_carouge_battistellak,46.1784912,6.1543187,Veyrier,1234,CH,r,Arve,veyrier,arve,False
ascona-traghetto-spiaggia,Ascona traghetto spiaggia,46.153882,8.76848,Ascona,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True
augustmutzenbergstrandweg,AugustMützenbergStrandweg,46.686640000000004,7.689760000000001,Spiez,3700,CH,l,Thunersee,spiez,thunersee,True
baby-plage-geneva,Baby Plage Geneva,46.208558000000004,6.162923,Genève,1208,CH,l,Lac Léman,geneve,lac-leman,True
baby-plage-ii-geneve,Baby-Plage II Genève,46.208940000000005,6.1643300000000005,Genève,1208,CH,l,Lac Léman,geneve,lac-leman,True
bagno-pubblico-ascona,Bagno Pubblico Ascona,46.147565,8.779144,Ascona,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True
bain-des-dames,Bain des Dames,46.4505068,6.8580918,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True
baye-de-clarens,Baye de Clarens,46.439787,6.888903,Montreux,1815,CH,l,Lac Léman,montreux,lac-leman,False
baye-de-montreux-d,Baye de Montreux D,46.430962,6.908672999999999,Montreux,1820,CH,l,Lac Léman,montreux,lac-leman,False
baye-de-montreux-g,Baye de Montreux G,46.430834000000004,6.908778,Montreux,1820,CH,l,Lac Léman,montreux,lac-leman,True
beich,Beich,47.048495,7.200528,Walperswil,3272,CH,r,Aare,walperswil,aare,True
berlingen-swisslitterreport,Berlingen swisslitterreport,47.672431200000005,9.0110553,Berlingen,8267,CH,l,Untersee,berlingen,untersee,False
bern-fahrstrasse,Bern Fahrstrasse,46.975865999999996,7.444210000000001,Bern,3004,CH,r,Aare,bern,aare,True
bern-tiergarten,Bern Tiergarten,46.9331574,7.4520041,Bern,3005,CH,r,Aare,bern,aare,True
bielersee_vinelz_fankhausers,Bielersee_Vinelz_FankhauserS,47.0383984,7.1083114,Vinelz,3234,CH,l,Bielersee,vinelz,bielersee,True
birskopfli-rusco,Birsköpfli Rusco,47.5577429,7.6172916,Birsfelden,4127,CH,r,Birs,birsfelden,birs,False
birs_basel_grunern,Birs_Basel_GrunerN,47.5511276,7.6221988,Basel,4052,CH,r,Birs,basel,birs,False
birs_basel_laderachs,Birs_basel_lÃ¤derachs,47.546049700000005,7.6225981,Basel,4052,CH,r,Birs,basel,birs,False
birs_reinach_dinuccin,Birs_Reinach_DiNucciN,47.5036817,7.607008500000001,Reinach,4153,CH,r,Birs,reinach,birs,False
bodensee_altenrhein_caluoria,bodensee_altenrhein_caluoria,47.486506899999995,9.5439664,Thal,9422,CH,l,Bodensee,thal,bodensee,False
bodensee_arbon_moslis,Bodensee_Arbon_MosliS,47.52088870000001,9.431144,Arbon,9320,CH,l,Bodensee,arbon,bodensee,False
bodensee_horn_huberm,bodensee_horn_huberm,47.4982757,9.4569782,Horn,9326,CH,l,Bodensee,horn,bodensee,False
bodensee_steinach_dolder_a,Bodensee_Steinach_Dolder_A,47.5062992,9.436171400000001,Steinach,9323,CH,l,Bodensee,steinach,bodensee,False
bodensee_thal_schlachterj_1,bodensee_thal_schlachterj_1,47.486216299999995,9.543909900000001,Thal,9422,CH,l,Bodensee,thal,bodensee,False
boiron,Boiron,46.4910297,6.480161799999999,Tolochenaz,1131,CH,l,Lac Léman,tolochenaz,lac-leman,False
brugg-be-buren-bsg-standort,Brügg BE Büren BSG Standort,47.12222,7.28141,Brügg,2555,CH,r,Aare|Nidau-Büren-Kanal,brugg,aarenidau-buren-kanal,True
camp-des-peches,Camp des pêches,47.052812,7.074053,Le Landeron,2525,CH,l,Bielersee,le-landeron,bielersee,True
camping-gwatt-strand,Camping Gwatt Strand,46.727140000000006,7.62962,Thun,3645,CH,l,Thunersee,thun,thunersee,True
chriesbach_duebendorf_schneidera,chriesbach_duebendorf_schneidera,47.4029195,8.6051458,Dübendorf,8600,CH,r,Chriesbach,dubendorf,chriesbach,False
cudrefin-alternate,Cudrefin alternate,46.96397,7.027448,Cudrefin,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,True
cully-plage,Cully plage,46.4888866,6.741396099999999,Bourg-en-Lavaux,1096,CH,l,Lac Léman,bourg-en-lavaux,lac-leman,True
delta-park,Delta park,46.720078,7.635304,Spiez,3645,CH,l,Thunersee,spiez,thunersee,True
emme_biberist_jennim,emme_biberist_jennim,47.1692208,7.558994800000001,Biberist,4562,CH,r,Emme,biberist,emme,False
emme_luterbach_huggenbergerk,emme_luterbach_huggenbergerk,47.211944200000005,7.5740144,Zuchwil,4528,CH,r,Emme,zuchwil,emme,False
emme_utzenstorf_gruttert,Emme_Utzenstorf_Grüttert,47.123696,7.539627,Utzenstorf,3427,CH,r,Emme,utzenstorf,emme,False
evole-plage,Evole plage,46.989477,6.92392,Neuchâtel,2000,CH,l,Neuenburgersee,neuchatel,neuenburgersee,True
flibach-river-right-bank,Flibach River Right bank,47.133742,9.105461,Weesen,8872,CH,l,Walensee,weesen,walensee,True
gals-reserve,Gals reserve,47.0462719,7.0850075,Gals,3238,CH,l,Bielersee,gals,bielersee,True
gerra-gambarogno,gerra-gambarogno,46.123366,8.785786,Gambarogno,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True
glatt_oerlikon_covosn,glatt_oerlikon_covosN,47.416769099999996,8.566711999999999,Opfikon,8152,CH,r,Glatt,opfikon,glatt,False
goldach_goldach_schlachterj,goldach_goldach_schlachterj,47.4739111,9.4593094,Goldach,9403,CH,r,Goldach,goldach,goldach,False
grand-clos,Grand Clos,46.387746,6.843686,Saint Gingolph,1898,CH,l,Lac Léman,saint-gingolph,lac-leman,True
greifensee_fallanden_meistery,greifensee_fällanden_meistery,47.3609381,8.6537228,Fällanden,8117,CH,l,Greifensee,fallanden,greifensee,False
greifensee_fallanden_simmenc,greifensee_fällanden_simmenc,47.3597141,8.6548433,Fällanden,8117,CH,l,Greifensee,fallanden,greifensee,False
greifensee_greifensee_simmenc,greifensee_greifensee_simmenc,47.3635723,8.6756991,Greifensee,8606,CH,l,Greifensee,greifensee,greifensee,False
greifensee_maur_simmenc,greifensee_maur_simmenc,47.3323864,8.6855146,Maur,8124,CH,l,Greifensee,maur,greifensee,False
