Type-Code,JCODE as Number,J-Code,GCODE as Number,G-Code,Name,Definition
ch_nn_,,,,,chemicals undefined use,Chemicals undefined use.
ch_nn_drk_,216,J216,,,unidentified generally dark-coloured oil-like chemicals,"Unidentified generally dark-coloured oil-like chemicals, i.e. no chemical analysis carried out."
ch_nn_drk_grse_,,,,,grease,Lubricating grease (only to be included after proof through chemical analysis).
ch_nn_drk_odrk_,,,,,other generally dark-coloured oil-like chemicals ,"Other generally dark-coloured oil-like chemicals includes e.g. Tall oil, also called ""liquid rosin"" (only to be included after proof through chemical analysis). "
pl_nn_sxp_,1,J1,1,G1,plastic 4/6-pack yokes & six-pack rings,"Four or six pack rings or yokes are a set of connected plastic rings that are used in multi-packs of drinks, particularly of drinks cans, to hold the cans together."
ch_nn_drk_oita_oils_,,,,,oil,"All types of oil usually found as viscous droplets or mats e.g., on a beach (only to be included after proof through chemical analysis). This is usually the sludge that remains after centrifuging heavy fuel oil before use as fuel by ships. It can also be crude oil, from loss of cargo, as well as hydraulic oil. "
ch_nn_drk_oita_tars_,,,,,tar,"Tar is the name for any oil that has been in the marine environment for such a length of time that the more volatile components have evaporated - usually more dry than oil, but there is a smooth transition between oil and tar (only to be included after proof through chemical analysis)."
ch_nn_lig_,217,J217,,,unidentified generally light-coloured paraffin-like chemicals,"Unidentified generally light-coloured paraffin-like chemicals, i.e. no chemical analysis carried out."
ch_nn_lig_olig_,,,,,other generally light-coloured paraffin-like chemicals (only to be included after proof through chemical analysis),Other generally light-coloured paraffin-like chemicals e.g. ethylene-oligomeres.
pl_nn_bag_,,,2,G2,plastic bags,Plastic bags
ch_nn_lig_voil_,,,,,vegetable oil ,"Vegetable oil, such as palm oil (only to be included after proof through chemical analysis)."
ch_nn_uch_,218,J218,,,unidentified chemicals,Any unidentified chemicals i.e. no chemical analysis carried out.
pl_nn_bag_cabg_,3,J3,3,G3,plastic shopping/carrier/grocery bags ,"Shopping bags are medium-sized bags, typically around 10–20 litres in volume (though much larger versions exist, especially for non-grocery shopping), that are used by shoppers to carry home their purchases. Shopping bags can be made with a variety of plastics."
pl_nn_bag_smbg_,4,J4,4,G4,small plastic bags ,"Small plastic bags refer to small-sized bags such as freezer bags, zip-lock re-sealable food bags, poly bags, etc."
pl_nn_bag_ends_,5,J5,5,G5,the part that remains from tear-off plastic bags,"Plastic packing bags are commonly found on the market in packs of 10, 20, 50, etc. This litter item refers to the part that remains after tearing-off the bags."
ct_nn_,,,,,cloth textile undefined use,Cloth textile undefined use.
pl_nn_b&c_,,,6,G6,plastic bottles & containers other than food or personal hygiene and care related,Plastic bottles & containers other than food or personal hygiene and care related.
pl_fc_b&c_dbot_smll_,7,J7,7,G7,plastic drink bottles ≤ 0.5 l,"Plastic bottles and containers with a volume of 0.5 litres or less, used to hold water, juice or other drinks for consumption."
pl_fc_b&c_dbot_lage_,8,J8,8,G8,plastic drink bottles >0.5 l,"Plastic bottles and containers with a volume larger than 0.5 litres, used to hold water, juice or other drinks for consumption. "
pl_nn_b&c_clng_,9,J9,9,G9,plastic bottles and containers of cleaning products,"Bottles and containers of cleaning products such as detergents, toilet cleaners, glass cleaners, etc."
ct_re_,,,,,recreation related cloth and textile items,Recreation related cloth and textile items.
pl_fc_b&c_,,,10,G10,plastic food bottles & containers,Plastic food bottles & containers.
pl_hy_b&c_bech_,11,J11,11,G11,plastic beach use related body care and cosmetic bottles and containers,"Bottles and containers of body care and cosmetics products used at the beach such as sunscreen, suntan or after sun lotion, etc. "
gc_co_,,,,,glass ceramic construction related waste,Glass ceramic construction related.
pl_hy_b&c_obch_,12,J12,12,G12,plastic non-beach use related body care and cosmetic bottles and containers ,"Bottles and containers of body care and cosmetics products such as shampoo, shower gel, toothpaste, perfume and others that are not explicitly used at the beach."
gc_fc_,,,,,food consumption related glass and ceramic items,Food consumption related glass and ceramic items.
pl_nn_b&c_ob&c_,13,J13,13,G13,other plastic bottles & containers (drums),Other plastic bottles and containers such as drums (cylindrical containers) generally used for the transportation and storage of liquids and powders.
gc_fi_,,,,,glass and ceramic fisheries related items,Glass and ceramic fisheries related items.
gc_fi_trp_,,,,,glass and ceramic lobster/crab/octopus pots and traps,Glass and ceramic lobster/crab/octopus pots and traps.
pl_nn_b&c_eoil_smal_,14,J14,14,G14,plastic engine oil bottles & containers 2.5 cm  ≥ ≤  50 cm,"Plastic bottles and containers smaller than 50 cm in any dimension, used for packaging motor oil, engine oil, or engine lubricant."
gc_nn_,,,,,glass ceramic undefined use,Glass ceramic undefined use.
gc_nn_b&c_,,,,,glass ceramic bottles & containers,Glass ceramic bottles & containers.
pl_nn_b&c_eoil_larg_,15,J15,15,G15,plastic engine oil bottles & containers >50cm,"Plastic bottles and containers bigger than 50 cm in any dimension, used for packaging motor oil, engine oil, or engine lubricant."
pl_nn_b&c_jery_,16,J16,16,G16,plastic jerry cans ,"Large plastic flat-sided containers with a handle used for storing or transporting liquids, typically petrol or water."
pl_nn_b&c_injn_,17,J17,17,G17,plastic injection gun containers/cartridges,"A cartridge made of plastic for devices that are used to inject grease, silicone, or other fluids."
gc_nn_lit_,,,,,glass light bulbs and fluorescent light tubes,Glass light bulbs and fluorescent light tubes.
pl_nn_box_,18,J18,18,G18,"plastic crates, boxes, baskets","Plastic containers typically used to transport or store different types of items and products, other than fisheries and aquaculture related."
pl_vk_prt_,19,J19,19,G19,plastic vehicle parts,Any part of a car or other transport vehicle made of artificial polymer materials and fibre glass. This can also include pieces of boats.
gc_nn_occ_,,,,,other glass or ceramic items,"Other identifiable ceramic items, which do not fit in any other category of this list."
gc_nn_occ_ocet_,219,J219,,,other ceramic items,"Other identifiable ceramic items, which do not fit in any other category of this list."
pl_nn_b&c_lids_,,,20,G20,plastic caps and lids,Plastic caps and lids.
me_co_,,,,,metal construction related waste,Metal construction related waste.
pl_fc_b&c_lids_drnk_,21,J21,21,G21,plastic caps/lids drinks,"Plastic caps and lids from bottles and containers, used to hold water, juice or other drinks for consumption"
me_fc_,,,,,metal food consumption related,Metal food consumption related.
me_fc_b&c_,,,,,metal food containers,Metal food containers.
me_fc_b&c_cans_,,,,,metal cans for food and drink,Metal cans for food and drink.
pl_nn_b&c_lids_dtgt_,22,J22,22,G22,"plastic caps/lids chemicals, detergents (non-food)","Plastic caps and lids from bottles and containers of cleaning products (i.e. detergents, toilet cleaners, glass cleaners, etc.) and chemicals."
pl_nn_b&c_lids_olid_,23,J23,23,G23,plastic caps/lids unidentified,Plastic caps and lids from unidentified bottles and containers.
pl_nn_b&c_lids_ring_,24,J24,24,G24,plastic rings from bottle caps/lids,"Plastic structures around the circumference (usually) of the closure that is often found attached below a closure in bottles, jars, and tubs. The bottom part of a cap that breaks off when the cap is screwed off."
me_fi_,,,,,metal fisheries related,Metal fisheries related.
pl_sm_tob_,25,J25,25,G25,plastic tobacco pouches / plastic cigarette packet packaging,"Plastic containers (pouches, boxes) used for cigarettes and tobacco."
pl_sm_lht_,26,J26,26,G26,plastic cigarette lighters,"Small objects that produce a flame, commonly used for lighting cigarettes or cigars."
me_nn_,,,,,metal undefined use,Metal undefined use.
