OSPAR-ID,Type-Code,Name,J-Code,G-Code,OSPAR Name
108,ch_nn_lig_pfwa_,paraffin wax,,G213,Paraffin or wax pieces
111,ch_nn_uch_,unidentified chemicals,J218,,Other pollutants
54,ct_cl_clg_,clothing,J137,G137,Clothing
57,ct_cl_ftw_,shoes & sandals made of leather and/or textile,J138,G138,Shoes (leather)
55,ct_nn_cpt_,cloth textile carpet & furnishing,J141,G141,Furnishing
56,ct_nn_sac_,hessian sacks/packaging,J140,G140,Sacking
59,ct_nn_tex_,other textiles,J145,G145,Other textiles
94,gc_co_btc_,"glass ceramic construction materials (bricks, tiles, cement)",J204,G204,Construction material e.g. tiles
95,gc_fi_trp_octo_,ceramic or glass octopus pots,J207,G207,Octopus pots
91,gc_nn_b&c_bott_,glass bottles,J200,G200,Bottles
92,gc_nn_lit_,glass light bulbs and fluorescent light tubes,,,Light bulbs/tubes
96,gc_nn_occ_ocet_,other ceramic items,J219,,Other ceramic/pottery items
93,gc_nn_occ_ogli_,other glass items,J210,G210,Other glass items (please specify in other item box*)
78,me_fc_b&c_cans_bevg_,metal drinks cans,J175,G175,Drink cans
82,me_fc_b&c_cans_fcan_,metal food cans,J176,G176,Food cans
87,me_fi_trp_,metal lobster/crab pots,J184,G184,Lobster/crab pots and tops
80,me_fi_wsl_,"metal fisheries related weights/sinkers, and lures",J182,G182,Fishing weights
79,me_nn_app_,"metal appliances (refrigerators, washers, etc.)",J180,G180,Electric appliances
84,me_nn_b&c_barl_,metal drums & barrels,,G187,Oil drums
76,me_nn_b&c_cans_aesp_,metal aerosol/spray cans ,J174,G174,Aerosol/Spray cans
86,me_nn_b&c_cans_ptin_,metal paint tins,J190,G190,Paint tins
77,me_nn_b&c_lids_,"metal bottle caps, lids & pull tabs from cans",J178,G178,Bottle caps
81,me_nn_foi_,"metal foil wrappers, aluminium foil",J177,G177,Foil wrappers
90,me_nn_ome_larg_,other metal pieces > 50cm,J199,G199,Other metal pieces > 50 cm
