,Gebiedscode,Rivier,Coordinaten,Lat,Lon,meting,date,doy,dop,plastic_6_packringen,plastic_tassen,plastic_kleine_plastic_tasjes,plastic_drankflessen_groterdan_halveliter,plastic_drankflessen_kleinerdan_halveliter,plastic_wikkels_van_drankflessen,plastic_verpakking_van_schoonmaakmiddelen,plastic_voedselverpakkingen_frietbakjes_etc,plastic_cosmeticaverpakkingen,plastic_motorolieverpakking_groterdan50cm,plastic_jerrycans,plastic_kratten,plastic_auto_onderdelen,plastic_doppen_en_deksels,plastic_aanstekers,plastic_speelgoed,plastic_plastic_bekers_of_delen_daarvan,plastic_netzakken,plastic_handschoenen_huishoudelijk,plastic_handschoenen_professioneel,plastic_touw_diameter_groterdan_1cm,plastic_touw_diameter_kleinerdan_1cm,plastic_sportvisspullen,plastic_breekstaafjes,plastic_emmers,plastic_industrieel_verpakkingsmateriaal,plastic_helmen,plastic_geweerpatronen,plastic_schoenen,plastic_plastic_stukjes_0_2_5cm_hard_plastic,plastic_plastic_stukjes_2_5_50cm_hard_plastic,plastic_plastic_stukjes_0_2_5cm_zacht_plastic,plastic_plastic_stukjes_2_5_50cm_zacht_plastic,plastic_overig_plastic,plastic_piepschuim_0_2_5cm,plastic_piepschuim_2_5_50cm,plastic_piepschuim_voedselverpakkingen,plastic_plastic_folies_groterdan_50cm,plastic_hard_plastic_groterdan_50cm,plastic_rietjes,plastic_snoep_snack_chipsverpakking,plastic_piepschuim_groterdan_50cm,plastic_piepschuim_bekers,plastic_bestek,plastic_biofilm_waterfiltertjes,plastic_kitspuiten,plastic_kunststof_band_tiewraps,plastic_lolliestokjes,plastic_motorolieverpakking_kleinerdan50cm,plastic_vuilniszakken,plastic_schrijfwaren,plastic_visdraad,plastic_vuurwerk,plastic_borden_new,plastic_roerstaafjes_new,plastic_bloempotten_new,plastic_plakband_new,rubber_ballonnen,rubber_banden,rubber_overig_rubber,textiel_kleding,textiel_vloerbedekking,textiel_schoeisel,textiel_overig_textiel,papier_tassen,papier_karton,papier_sigarettenverpakking,papier_sigarettenfilters,papier_kartonnen_bekers,papier_kranten,papier_papier_overig,papier_drankkarton,papier_ondefinieerbaar,hout_kurk,hout_pellets,hout_ijsstokjes,hout_kwasten,hout_overig_hout_keinderdan_50cm,hout_overig_hout_groterdan_50cm,metaal_aluminiumfolie,metaal_capsules,metaal_drankblikjes,metaal_elektriciteitsdraad,metaal_oud_ijzer,metaal_kroonkurken,metaal_oliedrum,metaal_omheinigsdraad_prikkeldraad,metaal_spuitbussen,metaal_verfblik,metaal_vislood,metaal_voedselblikken,metaal_wegwerpbarbecues,metaal_overig_metaal_kleinerdan_50cm,metaal_overig_metaal_groterdan_50cm,glas_flessen_pottten,glas_lampen_tl_lampen,glas_overig_glas,sanitair_cosmetica,sanitair_plastic_wattenstaafjes,sanitair_kartonnen_wattenstaafjes,sanitair_vochtige_doekjes,sanitair_condooms,sanitair_maandverband_en_verpakkingen_ervan,sanitair_plastic_kam_borstel,sanitair_tampons_en_tamponapplicators,sanitair_tissues_wc_papier,sanitair_toiletverfrissers,sanitair_overig_sanitair,medisch_verpakkingen,medisch_spuiten,medisch_overig_medisch,,Totaal,Items/km,granulaat_korrels
0,W(078a)R-ZHNL,Waal,#REF!,51.8227,5.0159,0,20171021,294,293,0,0,2,0,1,3,0,6,0,0,0,0,0,4,0,2,3,0,0,0,5,2,0,0,0,1,0,0,0,5,1,4,3,4,0,2,,,0,,17,,,0,,0,0,,0,,0,0,,,,,,0,0,0,1,0,1,2,0,0,7,25,0,0,8,3,,0,0,0,0,5,0,2,0,11,0,2,18,0,0,0,0,0,0,0,1,0,10,1,5,,0,,,0,0,0,1,,0,2,0,0,0,,170,1700,0
1,W(074b)R-REFE,Waal,#REF!,51.829,5.0805,0,20171103,307,306,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,4,0,0,0,1,21,10,0,0,2,0,0,0,22,3,5,12,2,0,8,,,0,,57,,,5,,0,0,,0,,0,0,,,,,,1,0,1,0,0,0,1,0,0,3,13,0,0,2,1,,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,8,,3,,,1,3,0,0,,0,1,0,0,0,,207,2070,0
2,W(062a)L-GENL,Waal,#REF!,51.8126,5.2358,0,20171016,289,288,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,9,0,4,0,0,,,0,,3,,,0,,0,0,,0,,2,0,,,,,,2,0,0,0,0,0,1,0,0,1,36,0,0,3,0,,0,0,0,0,0,0,1,0,3,0,1,33,0,0,0,0,0,0,0,1,0,3,0,95,,1,,,0,0,0,0,,0,1,0,0,0,,214,2140,0
3,W(048a)L-GENL,Waal,#REF!,51.8475,5.4159,0,20171004,277,276,0,2,1,0,2,1,1,1,1,0,0,0,0,5,1,0,2,0,0,0,1,1,4,0,0,0,0,0,0,1,5,2,7,7,0,0,,,2,,10,,,0,,0,0,,0,,0,0,,,,,,0,0,0,0,0,0,1,0,1,2,13,0,0,11,0,,0,0,0,0,4,1,3,0,6,0,0,5,0,0,0,0,0,1,0,1,1,15,0,7,,0,,,0,0,0,0,,0,2,0,0,1,,132,1320,0
4,W(046a)L-GENL,Waal,#REF!,51.8588,5.4222,0,20171002,275,274,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,3,0,7,3,0,0,4,,,0,,0,,,0,,0,0,,0,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,,1,,,0,1,0,0,,0,1,0,0,0,,46,460,0
5,W(042a)L-GENL,Waal,#REF!,51.8872,5.4663,0,20171004,277,276,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,7,2,0,0,,,3,,4,,,0,,0,0,,0,,0,0,,,,,,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,1,0,0,,0,0,0,0,0,,41,410,0
6,W(041a)R-GENL,Waal,#REF!,51.8919,5.4838,0,20171007,280,279,0,0,9,7,8,0,1,11,2,0,0,0,1,26,1,1,3,0,0,0,0,2,1,0,1,2,0,1,2,5,36,35,6,35,0,9,,,0,,18,,,0,,0,1,,0,,1,0,,,,,,1,0,16,2,2,12,24,0,0,1,0,0,0,0,1,,0,0,0,0,1,1,0,0,234,7,0,0,0,2,0,0,0,2,0,1,0,5,0,1,,0,,,0,3,4,0,,0,6,0,0,2,,553,5530,0
7,W(038b)R-GENL,Waal,#REF!,51.8923,5.5114,0,20171011,284,283,0,0,1,0,2,0,1,0,0,0,0,0,0,9,0,2,0,0,0,0,1,4,0,0,0,1,0,0,0,5,9,3,13,1,0,2,,,0,,7,,,0,,0,1,,0,,0,0,,,,,,0,0,3,0,1,0,1,0,1,0,0,0,0,5,2,,0,0,0,2,4,1,3,0,10,0,1,2,0,1,0,0,0,1,0,0,0,1,0,3,,0,,,0,0,0,0,,0,0,0,0,0,,104,1040,0
8,W(038a)L-GENL,Waal,#REF!,51.8897,5.5208,0,20171002,275,274,0,0,0,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,4,0,0,2,,,0,,4,,,0,,0,1,,0,,0,0,,,,,,0,0,0,0,0,0,1,0,0,0,3,1,0,56,0,,0,0,0,0,0,0,1,0,9,0,2,1,0,0,0,0,0,0,0,1,0,0,0,92,,1,,,0,0,0,0,,0,3,0,0,0,,195,1950,0
9,W(031a)R-GENL,Waal,#REF!,51.8998,5.6477,0,20171008,281,280,0,0,2,1,0,1,0,4,0,0,0,0,0,0,0,1,1,0,0,1,9,0,0,0,0,1,0,0,0,9,3,6,4,3,0,0,,,0,,17,,,3,,0,0,,0,,0,0,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,0,,,1,0,0,0,,0,1,1,0,0,,80,800,0
