location,date,loc_date,water_name,code,quantity,pcs_m
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_6_packringen,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_tassen,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_kleine_plastic_tasjes,2.0,0.02
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_drankflessen_groterdan_halveliter,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_drankflessen_kleinerdan_halveliter,1.0,0.01
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_wikkels_van_drankflessen,3.0,0.03
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_verpakking_van_schoonmaakmiddelen,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_voedselverpakkingen_frietbakjes_etc,6.0,0.06
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_cosmeticaverpakkingen,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_motorolieverpakking_groterdan50cm,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_jerrycans,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_kratten,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_auto_onderdelen,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_doppen_en_deksels,4.0,0.04
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_aanstekers,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_speelgoed,2.0,0.02
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_plastic_bekers_of_delen_daarvan,3.0,0.03
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_netzakken,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_handschoenen_huishoudelijk,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_handschoenen_professioneel,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_touw_diameter_groterdan_1cm,5.0,0.05
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_touw_diameter_kleinerdan_1cm,2.0,0.02
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_sportvisspullen,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_breekstaafjes,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_emmers,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_industrieel_verpakkingsmateriaal,1.0,0.01
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_helmen,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_geweerpatronen,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_schoenen,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_plastic_stukjes_0_2_5cm_hard_plastic,5.0,0.05
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_plastic_stukjes_2_5_50cm_hard_plastic,1.0,0.01
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_plastic_stukjes_0_2_5cm_zacht_plastic,4.0,0.04
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_plastic_stukjes_2_5_50cm_zacht_plastic,3.0,0.03
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_overig_plastic,4.0,0.04
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_piepschuim_0_2_5cm,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_piepschuim_2_5_50cm,2.0,0.02
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_piepschuim_voedselverpakkingen,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_plastic_folies_groterdan_50cm,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_hard_plastic_groterdan_50cm,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_rietjes,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_snoep_snack_chipsverpakking,17.0,0.17
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_piepschuim_groterdan_50cm,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_piepschuim_bekers,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_bestek,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_biofilm_waterfiltertjes,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_kitspuiten,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_kunststof_band_tiewraps,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_lolliestokjes,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_motorolieverpakking_kleinerdan50cm,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_vuilniszakken,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_schrijfwaren,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_visdraad,0.0,0.0
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_vuurwerk,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_borden_new,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_roerstaafjes_new,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_bloempotten_new,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,plastic_plakband_new,,
waal1,2017-10-21,"('waal1', datetime.date(2017, 10, 21))",Waal,rubber_ballonnen,0.0,0.0
