,Unnamed: 0,date,code,pcs_m,quantity,location,loc_date
0,0,2021-02-10,G178,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
1,1,2021-02-10,G211,0.03,3,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
2,2,2021-02-10,G30,0.03,3,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
3,3,2021-02-10,G79,0.04,4,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
4,4,2021-02-10,G113,0.04,4,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
5,5,2021-02-10,G939,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
6,6,2021-02-10,G177,0.02,2,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
7,7,2021-02-10,G200,0.49,49,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
8,8,2021-02-10,G27,0.08,8,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
9,9,2021-02-10,G78,0.1,10,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
10,10,2021-02-10,G112,0.03,3,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
11,11,2021-02-10,G927,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
12,12,2021-02-10,G157,0.02,2,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
13,13,2021-02-10,G191,0.06,6,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
14,14,2021-02-10,G24,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
15,15,2021-02-10,G55,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
16,16,2021-02-10,G105,0.11,11,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
17,17,2021-02-10,G914,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
18,18,2021-02-10,G134,0.02,2,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')"
19,19,2021-01-16,G23,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
20,20,2021-01-16,G87,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
21,21,2021-01-16,G27,0.06,3,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
22,22,2021-01-16,G909,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
23,23,2021-01-16,G32,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
24,24,2021-01-16,G930,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
25,25,2021-01-16,G125,0.06,3,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
26,26,2021-01-16,G156,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
27,27,2021-01-16,G35,0.04,2,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
28,28,2021-01-16,G98,0.04,2,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
29,29,2021-01-16,G178,0.15,8,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
30,30,2021-01-16,G66,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
31,31,2021-01-16,G211,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
32,32,2021-01-16,G79,0.04,2,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
33,33,2021-01-16,G25,0.11,6,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
34,34,2021-01-16,G908,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
35,35,2021-01-16,G30,0.17,9,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
36,36,2021-01-16,G93,0.08,4,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
37,37,2021-01-16,G34,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
38,38,2021-01-16,G96,0.06,3,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
39,39,2021-01-16,G135,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
40,40,2021-01-16,G177,0.06,3,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
41,41,2021-01-16,G48,0.08,4,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
42,42,2021-01-16,G204,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
43,43,2021-01-16,G78,0.11,6,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
44,44,2021-01-16,G24,0.06,3,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
45,45,2021-01-16,G904,0.04,2,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
46,46,2021-01-16,G29,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
47,47,2021-01-16,G928,0.04,2,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
48,48,2021-01-16,G33,0.08,4,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
49,49,2021-01-16,G95,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
50,50,2021-01-16,G134,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
51,51,2021-01-16,G159,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
52,52,2021-01-16,G43,0.08,4,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
53,53,2021-01-16,G200,0.19,10,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
54,54,2021-01-16,G67,0.02,1,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')"
55,55,2020-12-16,G134,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
56,56,2020-12-16,G910,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
57,57,2020-12-16,G177,0.03,3,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
58,58,2020-12-16,G926,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
59,59,2020-12-16,G200,0.22,22,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
60,60,2020-12-16,G30,0.27,27,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
61,61,2020-12-16,G105,0.08,8,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
62,62,2020-12-16,G68,0.02,2,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
63,63,2020-12-16,G124,0.06,6,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
64,64,2020-12-16,G905,0.03,3,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
65,65,2020-12-16,G170,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
66,66,2020-12-16,G915,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
67,67,2020-12-16,G20,0.03,3,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
68,68,2020-12-16,G938,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
69,69,2020-12-16,G27,0.1,10,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
70,70,2020-12-16,G34,0.03,3,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
71,71,2020-12-16,G113,0.04,4,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
72,72,2020-12-16,G79,0.1,10,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
73,73,2020-12-16,G157,0.03,3,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
74,74,2020-12-16,G911,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
75,75,2020-12-16,G178,0.15,15,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
76,76,2020-12-16,G93,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
77,77,2020-12-16,G211,0.03,3,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
78,78,2020-12-16,G32,0.03,3,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
79,79,2020-12-16,G112,0.04,4,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
80,80,2020-12-16,G78,0.13,13,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')"
81,81,2020-11-18,G27,0.12,12,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
82,82,2020-11-18,G35,0.02,2,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
83,83,2020-11-18,G68,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
84,84,2020-11-18,G156,0.02,2,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
85,85,2020-11-18,G905,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
86,86,2020-11-18,G178,0.07,7,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
87,87,2020-11-18,G211,0.07,7,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
88,88,2020-11-18,G34,0.02,2,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
89,89,2020-11-18,G50,0.02,2,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
90,90,2020-11-18,G106,0.02,2,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
91,91,2020-11-18,G79,0.12,12,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
92,92,2020-11-18,G177,0.03,3,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
93,93,2020-11-18,G911,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
94,94,2020-11-18,G208,0.01,1,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')"
